i,x,y,r,c
EcalLeftInnRegion,-1767.55,-1279.95,0,0
EcalLeftInnRegion,-1726.92,-1279.95,0,1
EcalLeftInnRegion,-1686.28,-1279.95,0,2
EcalLeftInnRegion,-1645.65,-1279.95,0,3
EcalLeftInnRegion,-1605.02,-1279.95,0,4
EcalLeftInnRegion,-1564.38,-1279.95,0,5
EcalLeftInnRegion,-1523.75,-1279.95,0,6
EcalLeftInnRegion,-1483.12,-1279.95,0,7
EcalLeftInnRegion,-1442.48,-1279.95,0,8
EcalLeftInnRegion,-1401.85,-1279.95,0,9
EcalLeftInnRegion,-1361.22,-1279.95,0,10
EcalLeftInnRegion,-1320.58,-1279.95,0,11
EcalLeftInnRegion,-1279.95,-1279.95,0,12
EcalLeftInnRegion,-1239.32,-1279.95,0,13
EcalLeftInnRegion,-1198.68,-1279.95,0,14
EcalLeftInnRegion,-1158.05,-1279.95,0,15
EcalLeftInnRegion,-1117.42,-1279.95,0,16
EcalLeftInnRegion,-1076.78,-1279.95,0,17
EcalLeftInnRegion,-1036.15,-1279.95,0,18
EcalLeftInnRegion,-995.517,-1279.95,0,19
EcalLeftInnRegion,-954.883,-1279.95,0,20
EcalLeftInnRegion,-914.25,-1279.95,0,21
EcalLeftInnRegion,-873.617,-1279.95,0,22
EcalLeftInnRegion,-832.983,-1279.95,0,23
EcalLeftInnRegion,-792.35,-1279.95,0,24
EcalLeftInnRegion,-751.717,-1279.95,0,25
EcalLeftInnRegion,-711.083,-1279.95,0,26
EcalLeftInnRegion,-670.45,-1279.95,0,27
EcalLeftInnRegion,-629.817,-1279.95,0,28
EcalLeftInnRegion,-589.183,-1279.95,0,29
EcalLeftInnRegion,-548.55,-1279.95,0,30
EcalLeftInnRegion,-507.917,-1279.95,0,31
EcalLeftInnRegion,-467.283,-1279.95,0,32
EcalLeftInnRegion,-426.65,-1279.95,0,33
EcalLeftInnRegion,-386.017,-1279.95,0,34
EcalLeftInnRegion,-345.383,-1279.95,0,35
EcalLeftInnRegion,-304.75,-1279.95,0,36
EcalLeftInnRegion,-264.117,-1279.95,0,37
EcalLeftInnRegion,-223.483,-1279.95,0,38
EcalLeftInnRegion,-182.85,-1279.95,0,39
EcalLeftInnRegion,-142.217,-1279.95,0,40
EcalLeftInnRegion,-101.583,-1279.95,0,41
EcalLeftInnRegion,-60.95,-1279.95,0,42
EcalLeftInnRegion,-20.3167,-1279.95,0,43
EcalLeftInnRegion,20.3167,-1279.95,0,44
EcalLeftInnRegion,60.95,-1279.95,0,45
EcalLeftInnRegion,101.583,-1279.95,0,46
EcalLeftInnRegion,142.217,-1279.95,0,47
EcalLeftInnRegion,182.85,-1279.95,0,48
EcalLeftInnRegion,223.483,-1279.95,0,49
EcalLeftInnRegion,264.117,-1279.95,0,50
EcalLeftInnRegion,304.75,-1279.95,0,51
EcalLeftInnRegion,345.383,-1279.95,0,52
EcalLeftInnRegion,386.017,-1279.95,0,53
EcalLeftInnRegion,426.65,-1279.95,0,54
EcalLeftInnRegion,467.283,-1279.95,0,55
EcalLeftInnRegion,507.917,-1279.95,0,56
EcalLeftInnRegion,548.55,-1279.95,0,57
EcalLeftInnRegion,589.183,-1279.95,0,58
EcalLeftInnRegion,629.817,-1279.95,0,59
EcalLeftInnRegion,670.45,-1279.95,0,60
EcalLeftInnRegion,711.083,-1279.95,0,61
EcalLeftInnRegion,751.717,-1279.95,0,62
EcalLeftInnRegion,792.35,-1279.95,0,63
EcalLeftInnRegion,-1767.55,-1239.32,1,0
EcalLeftInnRegion,-1726.92,-1239.32,1,1
EcalLeftInnRegion,-1686.28,-1239.32,1,2
EcalLeftInnRegion,-1645.65,-1239.32,1,3
EcalLeftInnRegion,-1605.02,-1239.32,1,4
EcalLeftInnRegion,-1564.38,-1239.32,1,5
EcalLeftInnRegion,-1523.75,-1239.32,1,6
EcalLeftInnRegion,-1483.12,-1239.32,1,7
EcalLeftInnRegion,-1442.48,-1239.32,1,8
EcalLeftInnRegion,-1401.85,-1239.32,1,9
EcalLeftInnRegion,-1361.22,-1239.32,1,10
EcalLeftInnRegion,-1320.58,-1239.32,1,11
EcalLeftInnRegion,-1279.95,-1239.32,1,12
EcalLeftInnRegion,-1239.32,-1239.32,1,13
EcalLeftInnRegion,-1198.68,-1239.32,1,14
EcalLeftInnRegion,-1158.05,-1239.32,1,15
EcalLeftInnRegion,-1117.42,-1239.32,1,16
EcalLeftInnRegion,-1076.78,-1239.32,1,17
EcalLeftInnRegion,-1036.15,-1239.32,1,18
EcalLeftInnRegion,-995.517,-1239.32,1,19
EcalLeftInnRegion,-954.883,-1239.32,1,20
EcalLeftInnRegion,-914.25,-1239.32,1,21
EcalLeftInnRegion,-873.617,-1239.32,1,22
EcalLeftInnRegion,-832.983,-1239.32,1,23
EcalLeftInnRegion,-792.35,-1239.32,1,24
EcalLeftInnRegion,-751.717,-1239.32,1,25
EcalLeftInnRegion,-711.083,-1239.32,1,26
EcalLeftInnRegion,-670.45,-1239.32,1,27
EcalLeftInnRegion,-629.817,-1239.32,1,28
EcalLeftInnRegion,-589.183,-1239.32,1,29
EcalLeftInnRegion,-548.55,-1239.32,1,30
EcalLeftInnRegion,-507.917,-1239.32,1,31
EcalLeftInnRegion,-467.283,-1239.32,1,32
EcalLeftInnRegion,-426.65,-1239.32,1,33
EcalLeftInnRegion,-386.017,-1239.32,1,34
EcalLeftInnRegion,-345.383,-1239.32,1,35
EcalLeftInnRegion,-304.75,-1239.32,1,36
EcalLeftInnRegion,-264.117,-1239.32,1,37
EcalLeftInnRegion,-223.483,-1239.32,1,38
EcalLeftInnRegion,-182.85,-1239.32,1,39
EcalLeftInnRegion,-142.217,-1239.32,1,40
EcalLeftInnRegion,-101.583,-1239.32,1,41
EcalLeftInnRegion,-60.95,-1239.32,1,42
EcalLeftInnRegion,-20.3167,-1239.32,1,43
EcalLeftInnRegion,20.3167,-1239.32,1,44
EcalLeftInnRegion,60.95,-1239.32,1,45
EcalLeftInnRegion,101.583,-1239.32,1,46
EcalLeftInnRegion,142.217,-1239.32,1,47
EcalLeftInnRegion,182.85,-1239.32,1,48
EcalLeftInnRegion,223.483,-1239.32,1,49
EcalLeftInnRegion,264.117,-1239.32,1,50
EcalLeftInnRegion,304.75,-1239.32,1,51
EcalLeftInnRegion,345.383,-1239.32,1,52
EcalLeftInnRegion,386.017,-1239.32,1,53
EcalLeftInnRegion,426.65,-1239.32,1,54
EcalLeftInnRegion,467.283,-1239.32,1,55
EcalLeftInnRegion,507.917,-1239.32,1,56
EcalLeftInnRegion,548.55,-1239.32,1,57
EcalLeftInnRegion,589.183,-1239.32,1,58
EcalLeftInnRegion,629.817,-1239.32,1,59
EcalLeftInnRegion,670.45,-1239.32,1,60
EcalLeftInnRegion,711.083,-1239.32,1,61
EcalLeftInnRegion,751.717,-1239.32,1,62
EcalLeftInnRegion,792.35,-1239.32,1,63
EcalLeftInnRegion,-1767.55,-1198.68,2,0
EcalLeftInnRegion,-1726.92,-1198.68,2,1
EcalLeftInnRegion,-1686.28,-1198.68,2,2
EcalLeftInnRegion,-1645.65,-1198.68,2,3
EcalLeftInnRegion,-1605.02,-1198.68,2,4
EcalLeftInnRegion,-1564.38,-1198.68,2,5
EcalLeftInnRegion,-1523.75,-1198.68,2,6
EcalLeftInnRegion,-1483.12,-1198.68,2,7
EcalLeftInnRegion,-1442.48,-1198.68,2,8
EcalLeftInnRegion,-1401.85,-1198.68,2,9
EcalLeftInnRegion,-1361.22,-1198.68,2,10
EcalLeftInnRegion,-1320.58,-1198.68,2,11
EcalLeftInnRegion,-1279.95,-1198.68,2,12
EcalLeftInnRegion,-1239.32,-1198.68,2,13
EcalLeftInnRegion,-1198.68,-1198.68,2,14
EcalLeftInnRegion,-1158.05,-1198.68,2,15
EcalLeftInnRegion,-1117.42,-1198.68,2,16
EcalLeftInnRegion,-1076.78,-1198.68,2,17
EcalLeftInnRegion,-1036.15,-1198.68,2,18
EcalLeftInnRegion,-995.517,-1198.68,2,19
EcalLeftInnRegion,-954.883,-1198.68,2,20
EcalLeftInnRegion,-914.25,-1198.68,2,21
EcalLeftInnRegion,-873.617,-1198.68,2,22
EcalLeftInnRegion,-832.983,-1198.68,2,23
EcalLeftInnRegion,-792.35,-1198.68,2,24
EcalLeftInnRegion,-751.717,-1198.68,2,25
EcalLeftInnRegion,-711.083,-1198.68,2,26
EcalLeftInnRegion,-670.45,-1198.68,2,27
EcalLeftInnRegion,-629.817,-1198.68,2,28
EcalLeftInnRegion,-589.183,-1198.68,2,29
EcalLeftInnRegion,-548.55,-1198.68,2,30
EcalLeftInnRegion,-507.917,-1198.68,2,31
EcalLeftInnRegion,-467.283,-1198.68,2,32
EcalLeftInnRegion,-426.65,-1198.68,2,33
EcalLeftInnRegion,-386.017,-1198.68,2,34
EcalLeftInnRegion,-345.383,-1198.68,2,35
EcalLeftInnRegion,-304.75,-1198.68,2,36
EcalLeftInnRegion,-264.117,-1198.68,2,37
EcalLeftInnRegion,-223.483,-1198.68,2,38
EcalLeftInnRegion,-182.85,-1198.68,2,39
EcalLeftInnRegion,-142.217,-1198.68,2,40
EcalLeftInnRegion,-101.583,-1198.68,2,41
EcalLeftInnRegion,-60.95,-1198.68,2,42
EcalLeftInnRegion,-20.3167,-1198.68,2,43
EcalLeftInnRegion,20.3167,-1198.68,2,44
EcalLeftInnRegion,60.95,-1198.68,2,45
EcalLeftInnRegion,101.583,-1198.68,2,46
EcalLeftInnRegion,142.217,-1198.68,2,47
EcalLeftInnRegion,182.85,-1198.68,2,48
EcalLeftInnRegion,223.483,-1198.68,2,49
EcalLeftInnRegion,264.117,-1198.68,2,50
EcalLeftInnRegion,304.75,-1198.68,2,51
EcalLeftInnRegion,345.383,-1198.68,2,52
EcalLeftInnRegion,386.017,-1198.68,2,53
EcalLeftInnRegion,426.65,-1198.68,2,54
EcalLeftInnRegion,467.283,-1198.68,2,55
EcalLeftInnRegion,507.917,-1198.68,2,56
EcalLeftInnRegion,548.55,-1198.68,2,57
EcalLeftInnRegion,589.183,-1198.68,2,58
EcalLeftInnRegion,629.817,-1198.68,2,59
EcalLeftInnRegion,670.45,-1198.68,2,60
EcalLeftInnRegion,711.083,-1198.68,2,61
EcalLeftInnRegion,751.717,-1198.68,2,62
EcalLeftInnRegion,792.35,-1198.68,2,63
EcalLeftInnRegion,-1767.55,-1158.05,3,0
EcalLeftInnRegion,-1726.92,-1158.05,3,1
EcalLeftInnRegion,-1686.28,-1158.05,3,2
EcalLeftInnRegion,-1645.65,-1158.05,3,3
EcalLeftInnRegion,-1605.02,-1158.05,3,4
EcalLeftInnRegion,-1564.38,-1158.05,3,5
EcalLeftInnRegion,-1523.75,-1158.05,3,6
EcalLeftInnRegion,-1483.12,-1158.05,3,7
EcalLeftInnRegion,-1442.48,-1158.05,3,8
EcalLeftInnRegion,-1401.85,-1158.05,3,9
EcalLeftInnRegion,-1361.22,-1158.05,3,10
EcalLeftInnRegion,-1320.58,-1158.05,3,11
EcalLeftInnRegion,-1279.95,-1158.05,3,12
EcalLeftInnRegion,-1239.32,-1158.05,3,13
EcalLeftInnRegion,-1198.68,-1158.05,3,14
EcalLeftInnRegion,-1158.05,-1158.05,3,15
EcalLeftInnRegion,-1117.42,-1158.05,3,16
EcalLeftInnRegion,-1076.78,-1158.05,3,17
EcalLeftInnRegion,-1036.15,-1158.05,3,18
EcalLeftInnRegion,-995.517,-1158.05,3,19
EcalLeftInnRegion,-954.883,-1158.05,3,20
EcalLeftInnRegion,-914.25,-1158.05,3,21
EcalLeftInnRegion,-873.617,-1158.05,3,22
EcalLeftInnRegion,-832.983,-1158.05,3,23
EcalLeftInnRegion,-792.35,-1158.05,3,24
EcalLeftInnRegion,-751.717,-1158.05,3,25
EcalLeftInnRegion,-711.083,-1158.05,3,26
EcalLeftInnRegion,-670.45,-1158.05,3,27
EcalLeftInnRegion,-629.817,-1158.05,3,28
EcalLeftInnRegion,-589.183,-1158.05,3,29
EcalLeftInnRegion,-548.55,-1158.05,3,30
EcalLeftInnRegion,-507.917,-1158.05,3,31
EcalLeftInnRegion,-467.283,-1158.05,3,32
EcalLeftInnRegion,-426.65,-1158.05,3,33
EcalLeftInnRegion,-386.017,-1158.05,3,34
EcalLeftInnRegion,-345.383,-1158.05,3,35
EcalLeftInnRegion,-304.75,-1158.05,3,36
EcalLeftInnRegion,-264.117,-1158.05,3,37
EcalLeftInnRegion,-223.483,-1158.05,3,38
EcalLeftInnRegion,-182.85,-1158.05,3,39
EcalLeftInnRegion,-142.217,-1158.05,3,40
EcalLeftInnRegion,-101.583,-1158.05,3,41
EcalLeftInnRegion,-60.95,-1158.05,3,42
EcalLeftInnRegion,-20.3167,-1158.05,3,43
EcalLeftInnRegion,20.3167,-1158.05,3,44
EcalLeftInnRegion,60.95,-1158.05,3,45
EcalLeftInnRegion,101.583,-1158.05,3,46
EcalLeftInnRegion,142.217,-1158.05,3,47
EcalLeftInnRegion,182.85,-1158.05,3,48
EcalLeftInnRegion,223.483,-1158.05,3,49
EcalLeftInnRegion,264.117,-1158.05,3,50
EcalLeftInnRegion,304.75,-1158.05,3,51
EcalLeftInnRegion,345.383,-1158.05,3,52
EcalLeftInnRegion,386.017,-1158.05,3,53
EcalLeftInnRegion,426.65,-1158.05,3,54
EcalLeftInnRegion,467.283,-1158.05,3,55
EcalLeftInnRegion,507.917,-1158.05,3,56
EcalLeftInnRegion,548.55,-1158.05,3,57
EcalLeftInnRegion,589.183,-1158.05,3,58
EcalLeftInnRegion,629.817,-1158.05,3,59
EcalLeftInnRegion,670.45,-1158.05,3,60
EcalLeftInnRegion,711.083,-1158.05,3,61
EcalLeftInnRegion,751.717,-1158.05,3,62
EcalLeftInnRegion,792.35,-1158.05,3,63
EcalLeftInnRegion,-1767.55,-1117.42,4,0
EcalLeftInnRegion,-1726.92,-1117.42,4,1
EcalLeftInnRegion,-1686.28,-1117.42,4,2
EcalLeftInnRegion,-1645.65,-1117.42,4,3
EcalLeftInnRegion,-1605.02,-1117.42,4,4
EcalLeftInnRegion,-1564.38,-1117.42,4,5
EcalLeftInnRegion,-1523.75,-1117.42,4,6
EcalLeftInnRegion,-1483.12,-1117.42,4,7
EcalLeftInnRegion,-1442.48,-1117.42,4,8
EcalLeftInnRegion,-1401.85,-1117.42,4,9
EcalLeftInnRegion,-1361.22,-1117.42,4,10
EcalLeftInnRegion,-1320.58,-1117.42,4,11
EcalLeftInnRegion,-1279.95,-1117.42,4,12
EcalLeftInnRegion,-1239.32,-1117.42,4,13
EcalLeftInnRegion,-1198.68,-1117.42,4,14
EcalLeftInnRegion,-1158.05,-1117.42,4,15
EcalLeftInnRegion,-1117.42,-1117.42,4,16
EcalLeftInnRegion,-1076.78,-1117.42,4,17
EcalLeftInnRegion,-1036.15,-1117.42,4,18
EcalLeftInnRegion,-995.517,-1117.42,4,19
EcalLeftInnRegion,-954.883,-1117.42,4,20
EcalLeftInnRegion,-914.25,-1117.42,4,21
EcalLeftInnRegion,-873.617,-1117.42,4,22
EcalLeftInnRegion,-832.983,-1117.42,4,23
EcalLeftInnRegion,-792.35,-1117.42,4,24
EcalLeftInnRegion,-751.717,-1117.42,4,25
EcalLeftInnRegion,-711.083,-1117.42,4,26
EcalLeftInnRegion,-670.45,-1117.42,4,27
EcalLeftInnRegion,-629.817,-1117.42,4,28
EcalLeftInnRegion,-589.183,-1117.42,4,29
EcalLeftInnRegion,-548.55,-1117.42,4,30
EcalLeftInnRegion,-507.917,-1117.42,4,31
EcalLeftInnRegion,-467.283,-1117.42,4,32
EcalLeftInnRegion,-426.65,-1117.42,4,33
EcalLeftInnRegion,-386.017,-1117.42,4,34
EcalLeftInnRegion,-345.383,-1117.42,4,35
EcalLeftInnRegion,-304.75,-1117.42,4,36
EcalLeftInnRegion,-264.117,-1117.42,4,37
EcalLeftInnRegion,-223.483,-1117.42,4,38
EcalLeftInnRegion,-182.85,-1117.42,4,39
EcalLeftInnRegion,-142.217,-1117.42,4,40
EcalLeftInnRegion,-101.583,-1117.42,4,41
EcalLeftInnRegion,-60.95,-1117.42,4,42
EcalLeftInnRegion,-20.3167,-1117.42,4,43
EcalLeftInnRegion,20.3167,-1117.42,4,44
EcalLeftInnRegion,60.95,-1117.42,4,45
EcalLeftInnRegion,101.583,-1117.42,4,46
EcalLeftInnRegion,142.217,-1117.42,4,47
EcalLeftInnRegion,182.85,-1117.42,4,48
EcalLeftInnRegion,223.483,-1117.42,4,49
EcalLeftInnRegion,264.117,-1117.42,4,50
EcalLeftInnRegion,304.75,-1117.42,4,51
EcalLeftInnRegion,345.383,-1117.42,4,52
EcalLeftInnRegion,386.017,-1117.42,4,53
EcalLeftInnRegion,426.65,-1117.42,4,54
EcalLeftInnRegion,467.283,-1117.42,4,55
EcalLeftInnRegion,507.917,-1117.42,4,56
EcalLeftInnRegion,548.55,-1117.42,4,57
EcalLeftInnRegion,589.183,-1117.42,4,58
EcalLeftInnRegion,629.817,-1117.42,4,59
EcalLeftInnRegion,670.45,-1117.42,4,60
EcalLeftInnRegion,711.083,-1117.42,4,61
EcalLeftInnRegion,751.717,-1117.42,4,62
EcalLeftInnRegion,792.35,-1117.42,4,63
EcalLeftInnRegion,-1767.55,-1076.78,5,0
EcalLeftInnRegion,-1726.92,-1076.78,5,1
EcalLeftInnRegion,-1686.28,-1076.78,5,2
EcalLeftInnRegion,-1645.65,-1076.78,5,3
EcalLeftInnRegion,-1605.02,-1076.78,5,4
EcalLeftInnRegion,-1564.38,-1076.78,5,5
EcalLeftInnRegion,-1523.75,-1076.78,5,6
EcalLeftInnRegion,-1483.12,-1076.78,5,7
EcalLeftInnRegion,-1442.48,-1076.78,5,8
EcalLeftInnRegion,-1401.85,-1076.78,5,9
EcalLeftInnRegion,-1361.22,-1076.78,5,10
EcalLeftInnRegion,-1320.58,-1076.78,5,11
EcalLeftInnRegion,-1279.95,-1076.78,5,12
EcalLeftInnRegion,-1239.32,-1076.78,5,13
EcalLeftInnRegion,-1198.68,-1076.78,5,14
EcalLeftInnRegion,-1158.05,-1076.78,5,15
EcalLeftInnRegion,-1117.42,-1076.78,5,16
EcalLeftInnRegion,-1076.78,-1076.78,5,17
EcalLeftInnRegion,-1036.15,-1076.78,5,18
EcalLeftInnRegion,-995.517,-1076.78,5,19
EcalLeftInnRegion,-954.883,-1076.78,5,20
EcalLeftInnRegion,-914.25,-1076.78,5,21
EcalLeftInnRegion,-873.617,-1076.78,5,22
EcalLeftInnRegion,-832.983,-1076.78,5,23
EcalLeftInnRegion,-792.35,-1076.78,5,24
EcalLeftInnRegion,-751.717,-1076.78,5,25
EcalLeftInnRegion,-711.083,-1076.78,5,26
EcalLeftInnRegion,-670.45,-1076.78,5,27
EcalLeftInnRegion,-629.817,-1076.78,5,28
EcalLeftInnRegion,-589.183,-1076.78,5,29
EcalLeftInnRegion,-548.55,-1076.78,5,30
EcalLeftInnRegion,-507.917,-1076.78,5,31
EcalLeftInnRegion,-467.283,-1076.78,5,32
EcalLeftInnRegion,-426.65,-1076.78,5,33
EcalLeftInnRegion,-386.017,-1076.78,5,34
EcalLeftInnRegion,-345.383,-1076.78,5,35
EcalLeftInnRegion,-304.75,-1076.78,5,36
EcalLeftInnRegion,-264.117,-1076.78,5,37
EcalLeftInnRegion,-223.483,-1076.78,5,38
EcalLeftInnRegion,-182.85,-1076.78,5,39
EcalLeftInnRegion,-142.217,-1076.78,5,40
EcalLeftInnRegion,-101.583,-1076.78,5,41
EcalLeftInnRegion,-60.95,-1076.78,5,42
EcalLeftInnRegion,-20.3167,-1076.78,5,43
EcalLeftInnRegion,20.3167,-1076.78,5,44
EcalLeftInnRegion,60.95,-1076.78,5,45
EcalLeftInnRegion,101.583,-1076.78,5,46
EcalLeftInnRegion,142.217,-1076.78,5,47
EcalLeftInnRegion,182.85,-1076.78,5,48
EcalLeftInnRegion,223.483,-1076.78,5,49
EcalLeftInnRegion,264.117,-1076.78,5,50
EcalLeftInnRegion,304.75,-1076.78,5,51
EcalLeftInnRegion,345.383,-1076.78,5,52
EcalLeftInnRegion,386.017,-1076.78,5,53
EcalLeftInnRegion,426.65,-1076.78,5,54
EcalLeftInnRegion,467.283,-1076.78,5,55
EcalLeftInnRegion,507.917,-1076.78,5,56
EcalLeftInnRegion,548.55,-1076.78,5,57
EcalLeftInnRegion,589.183,-1076.78,5,58
EcalLeftInnRegion,629.817,-1076.78,5,59
EcalLeftInnRegion,670.45,-1076.78,5,60
EcalLeftInnRegion,711.083,-1076.78,5,61
EcalLeftInnRegion,751.717,-1076.78,5,62
EcalLeftInnRegion,792.35,-1076.78,5,63
EcalLeftInnRegion,-1767.55,-1036.15,6,0
EcalLeftInnRegion,-1726.92,-1036.15,6,1
EcalLeftInnRegion,-1686.28,-1036.15,6,2
EcalLeftInnRegion,-1645.65,-1036.15,6,3
EcalLeftInnRegion,-1605.02,-1036.15,6,4
EcalLeftInnRegion,-1564.38,-1036.15,6,5
EcalLeftInnRegion,-1523.75,-1036.15,6,6
EcalLeftInnRegion,-1483.12,-1036.15,6,7
EcalLeftInnRegion,-1442.48,-1036.15,6,8
EcalLeftInnRegion,-1401.85,-1036.15,6,9
EcalLeftInnRegion,-1361.22,-1036.15,6,10
EcalLeftInnRegion,-1320.58,-1036.15,6,11
EcalLeftInnRegion,-1279.95,-1036.15,6,12
EcalLeftInnRegion,-1239.32,-1036.15,6,13
EcalLeftInnRegion,-1198.68,-1036.15,6,14
EcalLeftInnRegion,-1158.05,-1036.15,6,15
EcalLeftInnRegion,-1117.42,-1036.15,6,16
EcalLeftInnRegion,-1076.78,-1036.15,6,17
EcalLeftInnRegion,-1036.15,-1036.15,6,18
EcalLeftInnRegion,-995.517,-1036.15,6,19
EcalLeftInnRegion,-954.883,-1036.15,6,20
EcalLeftInnRegion,-914.25,-1036.15,6,21
EcalLeftInnRegion,-873.617,-1036.15,6,22
EcalLeftInnRegion,-832.983,-1036.15,6,23
EcalLeftInnRegion,-792.35,-1036.15,6,24
EcalLeftInnRegion,-751.717,-1036.15,6,25
EcalLeftInnRegion,-711.083,-1036.15,6,26
EcalLeftInnRegion,-670.45,-1036.15,6,27
EcalLeftInnRegion,-629.817,-1036.15,6,28
EcalLeftInnRegion,-589.183,-1036.15,6,29
EcalLeftInnRegion,-548.55,-1036.15,6,30
EcalLeftInnRegion,-507.917,-1036.15,6,31
EcalLeftInnRegion,-467.283,-1036.15,6,32
EcalLeftInnRegion,-426.65,-1036.15,6,33
EcalLeftInnRegion,-386.017,-1036.15,6,34
EcalLeftInnRegion,-345.383,-1036.15,6,35
EcalLeftInnRegion,-304.75,-1036.15,6,36
EcalLeftInnRegion,-264.117,-1036.15,6,37
EcalLeftInnRegion,-223.483,-1036.15,6,38
EcalLeftInnRegion,-182.85,-1036.15,6,39
EcalLeftInnRegion,-142.217,-1036.15,6,40
EcalLeftInnRegion,-101.583,-1036.15,6,41
EcalLeftInnRegion,-60.95,-1036.15,6,42
EcalLeftInnRegion,-20.3167,-1036.15,6,43
EcalLeftInnRegion,20.3167,-1036.15,6,44
EcalLeftInnRegion,60.95,-1036.15,6,45
EcalLeftInnRegion,101.583,-1036.15,6,46
EcalLeftInnRegion,142.217,-1036.15,6,47
EcalLeftInnRegion,182.85,-1036.15,6,48
EcalLeftInnRegion,223.483,-1036.15,6,49
EcalLeftInnRegion,264.117,-1036.15,6,50
EcalLeftInnRegion,304.75,-1036.15,6,51
EcalLeftInnRegion,345.383,-1036.15,6,52
EcalLeftInnRegion,386.017,-1036.15,6,53
EcalLeftInnRegion,426.65,-1036.15,6,54
EcalLeftInnRegion,467.283,-1036.15,6,55
EcalLeftInnRegion,507.917,-1036.15,6,56
EcalLeftInnRegion,548.55,-1036.15,6,57
EcalLeftInnRegion,589.183,-1036.15,6,58
EcalLeftInnRegion,629.817,-1036.15,6,59
EcalLeftInnRegion,670.45,-1036.15,6,60
EcalLeftInnRegion,711.083,-1036.15,6,61
EcalLeftInnRegion,751.717,-1036.15,6,62
EcalLeftInnRegion,792.35,-1036.15,6,63
EcalLeftInnRegion,-1767.55,-995.517,7,0
EcalLeftInnRegion,-1726.92,-995.517,7,1
EcalLeftInnRegion,-1686.28,-995.517,7,2
EcalLeftInnRegion,-1645.65,-995.517,7,3
EcalLeftInnRegion,-1605.02,-995.517,7,4
EcalLeftInnRegion,-1564.38,-995.517,7,5
EcalLeftInnRegion,-1523.75,-995.517,7,6
EcalLeftInnRegion,-1483.12,-995.517,7,7
EcalLeftInnRegion,-1442.48,-995.517,7,8
EcalLeftInnRegion,-1401.85,-995.517,7,9
EcalLeftInnRegion,-1361.22,-995.517,7,10
EcalLeftInnRegion,-1320.58,-995.517,7,11
EcalLeftInnRegion,-1279.95,-995.517,7,12
EcalLeftInnRegion,-1239.32,-995.517,7,13
EcalLeftInnRegion,-1198.68,-995.517,7,14
EcalLeftInnRegion,-1158.05,-995.517,7,15
EcalLeftInnRegion,-1117.42,-995.517,7,16
EcalLeftInnRegion,-1076.78,-995.517,7,17
EcalLeftInnRegion,-1036.15,-995.517,7,18
EcalLeftInnRegion,-995.517,-995.517,7,19
EcalLeftInnRegion,-954.883,-995.517,7,20
EcalLeftInnRegion,-914.25,-995.517,7,21
EcalLeftInnRegion,-873.617,-995.517,7,22
EcalLeftInnRegion,-832.983,-995.517,7,23
EcalLeftInnRegion,-792.35,-995.517,7,24
EcalLeftInnRegion,-751.717,-995.517,7,25
EcalLeftInnRegion,-711.083,-995.517,7,26
EcalLeftInnRegion,-670.45,-995.517,7,27
EcalLeftInnRegion,-629.817,-995.517,7,28
EcalLeftInnRegion,-589.183,-995.517,7,29
EcalLeftInnRegion,-548.55,-995.517,7,30
EcalLeftInnRegion,-507.917,-995.517,7,31
EcalLeftInnRegion,-467.283,-995.517,7,32
EcalLeftInnRegion,-426.65,-995.517,7,33
EcalLeftInnRegion,-386.017,-995.517,7,34
EcalLeftInnRegion,-345.383,-995.517,7,35
EcalLeftInnRegion,-304.75,-995.517,7,36
EcalLeftInnRegion,-264.117,-995.517,7,37
EcalLeftInnRegion,-223.483,-995.517,7,38
EcalLeftInnRegion,-182.85,-995.517,7,39
EcalLeftInnRegion,-142.217,-995.517,7,40
EcalLeftInnRegion,-101.583,-995.517,7,41
EcalLeftInnRegion,-60.95,-995.517,7,42
EcalLeftInnRegion,-20.3167,-995.517,7,43
EcalLeftInnRegion,20.3167,-995.517,7,44
EcalLeftInnRegion,60.95,-995.517,7,45
EcalLeftInnRegion,101.583,-995.517,7,46
EcalLeftInnRegion,142.217,-995.517,7,47
EcalLeftInnRegion,182.85,-995.517,7,48
EcalLeftInnRegion,223.483,-995.517,7,49
EcalLeftInnRegion,264.117,-995.517,7,50
EcalLeftInnRegion,304.75,-995.517,7,51
EcalLeftInnRegion,345.383,-995.517,7,52
EcalLeftInnRegion,386.017,-995.517,7,53
EcalLeftInnRegion,426.65,-995.517,7,54
EcalLeftInnRegion,467.283,-995.517,7,55
EcalLeftInnRegion,507.917,-995.517,7,56
EcalLeftInnRegion,548.55,-995.517,7,57
EcalLeftInnRegion,589.183,-995.517,7,58
EcalLeftInnRegion,629.817,-995.517,7,59
EcalLeftInnRegion,670.45,-995.517,7,60
EcalLeftInnRegion,711.083,-995.517,7,61
EcalLeftInnRegion,751.717,-995.517,7,62
EcalLeftInnRegion,792.35,-995.517,7,63
EcalLeftInnRegion,-1767.55,-954.883,8,0
EcalLeftInnRegion,-1726.92,-954.883,8,1
EcalLeftInnRegion,-1686.28,-954.883,8,2
EcalLeftInnRegion,-1645.65,-954.883,8,3
EcalLeftInnRegion,-1605.02,-954.883,8,4
EcalLeftInnRegion,-1564.38,-954.883,8,5
EcalLeftInnRegion,-1523.75,-954.883,8,6
EcalLeftInnRegion,-1483.12,-954.883,8,7
