ETOS s_sigma 0 gamma,ETOS delta_m 0 gamma,ETOS mu_MC 0 gamma,ETOS s_sigma 1 gamma,ETOS delta_m 1 gamma,ETOS mu_MC 1 gamma,ETOS s_sigma 2 gamma,ETOS delta_m 2 gamma,ETOS mu_MC 2 gamma
1.07 ± 0.02,-2.23 ± 0.58,3072.03 ± 0.55,1.09 ± 0.01, -0.56 ± 0.61,3068.72 ± 0.54,1.13 ± 0.02,  2.31 ± 0.97,3080.17 ± 0.53
1.08 ± 0.01,-0.91 ± 0.39,3073.17 ± 0.59,1.09 ± 0.01,  1.12 ± 0.43,3070.10 ± 0.60,1.10 ± 0.01,  5.75 ± 0.69,3084.31 ± 0.57
1.16 ± 0.02,-5.69 ± 0.78,3075.28 ± 0.50,1.14 ± 0.02, -8.87 ± 0.86,3072.83 ± 0.49,1.17 ± 0.03, -8.94 ± 1.35,3083.42 ± 0.49
1.11 ± 0.01,-4.68 ± 0.30,3074.55 ± 0.47,1.14 ± 0.01,-11.02 ± 0.33,3070.01 ± 0.45,1.18 ± 0.01,-16.00 ± 0.54,3082.32 ± 0.46
1.09 ± 0.01,-4.37 ± 0.28,3075.18 ± 0.66,1.12 ± 0.01, -7.18 ± 0.32,3070.92 ± 0.64,1.09 ± 0.01, -9.57 ± 0.51,3080.65 ± 0.63
1.10 ± 0.01,-4.59 ± 0.27,3074.16 ± 0.65,1.10 ± 0.01, -6.40 ± 0.29,3070.72 ± 0.65,1.08 ± 0.01, -8.09 ± 0.47,3082.12 ± 0.63
