    B_DTF_HEAD_PERR                                                                                     Double_t                                
    B_DTF_HEAD_PX                                                                                       Float_t                                 
    B_DTF_HEAD_PY                                                                                       Float_t                                 
    B_DTF_HEAD_PZ                                                                                       Float_t                                 
    B_DTF_Jpsi_CHI2                                                                                     Double_t                                
    B_DTF_Jpsi_CHI2DOF                                                                                  Double_t                                
    B_DTF_Jpsi_CTAU                                                                                     Double_t                                
    B_DTF_Jpsi_CTAUERR                                                                                  Double_t                                
    B_DTF_Jpsi_FD                                                                                       Double_t                                
    B_DTF_Jpsi_FDERR                                                                                    Double_t                                
    B_DTF_Jpsi_MASS                                                                                     Double_t                                
    B_DTF_Jpsi_MASSERR                                                                                  Double_t                                
    B_DTF_Jpsi_NDOF                                                                                     Int_t                                   
    B_DTF_Jpsi_NITER                                                                                    Int_t                                   
    B_DTF_Jpsi_P                                                                                        Double_t                                
    B_DTF_Jpsi_PE                                                                                       Float_t                                 
    B_DTF_Jpsi_PERR                                                                                     Double_t                                
    B_DTF_Jpsi_PX                                                                                       Float_t                                 
    B_DTF_Jpsi_PY                                                                                       Float_t                                 
    B_DTF_Jpsi_PZ                                                                                       Float_t                                 
    B_DTF_K2P_CHI2                                                                                      Double_t                                
    B_DTF_K2P_CHI2DOF                                                                                   Double_t                                
    B_DTF_K2P_CTAU                                                                                      Double_t                                
    B_DTF_K2P_CTAUERR                                                                                   Double_t                                
    B_DTF_K2P_FD                                                                                        Double_t                                
    B_DTF_K2P_FDERR                                                                                     Double_t                                
    B_DTF_K2P_Jpsi_CHI2                                                                                 Double_t                                
    B_DTF_K2P_Jpsi_CHI2DOF                                                                              Double_t                                
    B_DTF_K2P_Jpsi_CTAU                                                                                 Double_t                                
    B_DTF_K2P_Jpsi_CTAUERR                                                                              Double_t                                
    B_DTF_K2P_Jpsi_FD                                                                                   Double_t                                
    B_DTF_K2P_Jpsi_FDERR                                                                                Double_t                                
    B_DTF_K2P_Jpsi_MASS                                                                                 Double_t                                
    B_DTF_K2P_Jpsi_MASSERR                                                                              Double_t                                
    B_DTF_K2P_Jpsi_NDOF                                                                                 Int_t                                   
    B_DTF_K2P_Jpsi_NITER                                                                                Int_t                                   
    B_DTF_K2P_Jpsi_P                                                                                    Double_t                                
