runid,fillid,starttime
299681,9842,2024-06-30 14:10:16+00:00
299679,9842,2024-06-30 13:44:27+00:00
299678,9842,2024-06-30 13:43:41+00:00
299676,9842,2024-06-30 12:51:36+00:00
299675,9842,2024-06-30 12:37:55+00:00
299673,9842,2024-06-30 11:37:50+00:00
299672,9842,2024-06-30 11:32:57+00:00
299671,9842,2024-06-30 11:32:11+00:00
299670,9842,2024-06-30 11:18:59+00:00
299668,9842,2024-06-30 10:40:19+00:00
299667,9842,2024-06-30 10:30:21+00:00
299666,9842,2024-06-30 10:27:52+00:00
299664,9842,2024-06-30 10:02:42+00:00
299663,9842,2024-06-30 09:55:55+00:00
299662,9842,2024-06-30 09:32:52+00:00
299661,9842,2024-06-30 09:18:41+00:00
299660,9842,2024-06-30 09:08:57+00:00
299659,9842,2024-06-30 09:08:01+00:00
299657,9842,2024-06-30 08:51:23+00:00
299656,9842,2024-06-30 08:49:54+00:00
299655,9842,2024-06-30 08:49:12+00:00
299654,9842,2024-06-30 08:48:17+00:00
299653,9842,2024-06-30 08:47:09+00:00
299652,9842,2024-06-30 08:44:38+00:00
299651,9842,2024-06-30 08:41:35+00:00
299650,9842,2024-06-30 08:39:01+00:00
299649,9842,2024-06-30 08:35:35+00:00
299648,9842,2024-06-30 08:31:32+00:00
299647,9842,2024-06-30 08:24:58+00:00
299646,9842,2024-06-30 08:10:59+00:00
299644,9842,2024-06-30 07:50:42+00:00
299643,9842,2024-06-30 07:46:50+00:00
299642,9842,2024-06-30 07:33:30+00:00
299641,9842,2024-06-30 07:30:23+00:00
299640,9842,2024-06-30 07:22:04+00:00
299639,9842,2024-06-30 07:13:33+00:00
299638,9842,2024-06-30 07:06:47+00:00
299636,9842,2024-06-30 06:50:44+00:00
299635,9842,2024-06-30 06:24:20+00:00
299634,9842,2024-06-30 06:23:09+00:00
299633,9842,2024-06-30 06:21:14+00:00
299632,9842,2024-06-30 06:13:59+00:00
299630,9842,2024-06-30 06:00:18+00:00
299629,9842,2024-06-30 05:59:25+00:00
299628,9842,2024-06-30 05:58:43+00:00
299627,9842,2024-06-30 05:35:52+00:00
299626,9842,2024-06-30 05:22:39+00:00
299625,9842,2024-06-30 05:19:09+00:00
299624,9842,2024-06-30 05:02:20+00:00
299622,9842,2024-06-30 04:59:17+00:00
299621,9842,2024-06-30 04:55:13+00:00
299620,9842,2024-06-30 04:30:08+00:00
299619,9842,2024-06-30 04:28:04+00:00
299618,9842,2024-06-30 04:26:16+00:00
299617,9842,2024-06-30 04:25:27+00:00
299616,9842,2024-06-30 04:23:01+00:00
299615,9842,2024-06-30 04:21:41+00:00
299614,9842,2024-06-30 04:20:26+00:00
299613,9842,2024-06-30 04:19:50+00:00
299612,9842,2024-06-30 04:18:00+00:00
299611,9842,2024-06-30 04:15:34+00:00
299610,9842,2024-06-30 04:06:47+00:00
299609,9842,2024-06-30 04:05:12+00:00
299607,9842,2024-06-30 04:01:47+00:00
299606,9842,2024-06-30 03:59:57+00:00
299605,9842,2024-06-30 03:54:29+00:00
299604,9842,2024-06-30 03:53:23+00:00
299603,9842,2024-06-30 03:50:36+00:00
299602,9842,2024-06-30 03:39:19+00:00
299601,9842,2024-06-30 03:32:20+00:00
299600,9842,2024-06-30 03:27:42+00:00
299599,9842,2024-06-30 03:23:10+00:00
299597,9842,2024-06-30 02:47:25+00:00
299596,9842,2024-06-30 02:42:20+00:00
299595,9842,2024-06-30 02:39:56+00:00
299593,9842,2024-06-30 02:12:04+00:00
299572,9840,2024-06-29 18:15:14+00:00
299571,9840,2024-06-29 18:13:42+00:00
299570,9840,2024-06-29 18:08:40+00:00
299569,9840,2024-06-29 18:07:05+00:00
299568,9840,2024-06-29 18:03:28+00:00
299566,9840,2024-06-29 17:59:53+00:00
299565,9840,2024-06-29 17:54:48+00:00
299564,9840,2024-06-29 17:52:19+00:00
299563,9840,2024-06-29 17:50:36+00:00
299562,9840,2024-06-29 17:39:04+00:00
299561,9840,2024-06-29 17:27:31+00:00
299560,9840,2024-06-29 17:22:06+00:00
299559,9840,2024-06-29 17:18:35+00:00
299558,9840,2024-06-29 17:16:35+00:00
299557,9840,2024-06-29 17:09:52+00:00
299555,9840,2024-06-29 16:44:45+00:00
299554,9840,2024-06-29 16:18:56+00:00
299553,9840,2024-06-29 16:06:09+00:00
299551,9840,2024-06-29 15:38:34+00:00
299550,9840,2024-06-29 15:33:57+00:00
299548,9840,2024-06-29 14:33:54+00:00
299547,9840,2024-06-29 14:29:41+00:00
299546,9840,2024-06-29 14:11:28+00:00
299544,9840,2024-06-29 13:57:19+00:00
299543,9840,2024-06-29 13:56:29+00:00
299542,9840,2024-06-29 13:37:58+00:00
299541,9840,2024-06-29 13:24:42+00:00
299540,9840,2024-06-29 13:18:27+00:00
299538,9840,2024-06-29 12:50:03+00:00
299537,9840,2024-06-29 12:42:56+00:00
299536,9840,2024-06-29 12:19:38+00:00
299534,9840,2024-06-29 11:59:13+00:00
299533,9840,2024-06-29 11:51:17+00:00
299532,9840,2024-06-29 11:37:50+00:00
299531,9840,2024-06-29 11:34:45+00:00
299530,9840,2024-06-29 11:13:51+00:00
299528,9840,2024-06-29 10:54:56+00:00
299527,9840,2024-06-29 10:51:43+00:00
299526,9840,2024-06-29 10:16:34+00:00
299525,9840,2024-06-29 10:16:21+00:00
299524,9840,2024-06-29 10:03:10+00:00
299523,9840,2024-06-29 10:02:29+00:00
299522,9840,2024-06-29 09:59:31+00:00
299520,9840,2024-06-29 09:34:01+00:00
299519,9840,2024-06-29 09:32:20+00:00
299518,9840,2024-06-29 09:00:06+00:00
299516,9840,2024-06-29 08:47:14+00:00
299515,9840,2024-06-29 08:33:54+00:00
299514,9840,2024-06-29 08:20:43+00:00
299513,9840,2024-06-29 08:07:04+00:00
299511,9840,2024-06-29 07:53:24+00:00
299510,9840,2024-06-29 07:49:08+00:00
299509,9840,2024-06-29 07:10:51+00:00
299508,9840,2024-06-29 07:08:01+00:00
299494,9838,2024-06-29 02:01:03+00:00
299492,9838,2024-06-29 01:37:15+00:00
299491,9838,2024-06-29 01:13:27+00:00
299489,9838,2024-06-29 00:49:43+00:00
299488,9838,2024-06-29 00:36:29+00:00
299487,9838,2024-06-29 00:23:01+00:00
299485,9838,2024-06-29 00:06:28+00:00
299484,9838,2024-06-29 00:02:47+00:00
299481,9838,2024-06-28 23:41:18+00:00
299404,9832,2024-06-27 16:27:31+00:00
299403,9832,2024-06-27 16:24:54+00:00
299402,9832,2024-06-27 16:04:20+00:00
299399,9832,2024-06-27 15:39:56+00:00
299398,9832,2024-06-27 15:26:06+00:00
299395,9832,2024-06-27 15:12:50+00:00
299392,9832,2024-06-27 14:59:06+00:00
299388,9832,2024-06-27 14:44:04+00:00
299386,9832,2024-06-27 14:40:13+00:00
299384,9832,2024-06-27 14:31:32+00:00
